author,rating,no_of_reviews,title
Suzanne Wright,4.7 out of 5 stars,82,Shadows
Diana Hacker,4.3 out of 5 stars,156,A Writer's Reference
Penelope Sky,4.7 out of 5 stars,227,The Wolf and the Sheep
Project Management Institute,3.7 out of 5 stars,95,A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide-Sixth Edition / Agile Practice Guide Bundle (Pmbok Guide)
Jonathan Cahn,0,0,The Oracle: The Jubilean Mysteries Unveiled
Lexi Blake,4.7 out of 5 stars,76,Lost in You (Masters and Mercenaries: The Forgotten Book 3)
Jodi Picoult,4.7 out of 5 stars,8376,Small Great Things: A Novel
Stephen K. Rose,4.8 out of 5 stars,108,The Peach Truck Cookbook: 100 Delicious Recipes for All Things Peach
Gertrude Chandler Warner,4.7 out of 5 stars,633,The Boxcar Children Books 1-4
Wendy Ewald,4.8 out of 5 stars,106,The Best Part of Me: Children Talk About their Bodies in Pictures and Words
Thomas J. Stanley,4.4 out of 5 stars,2770,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
Dave Canterbury,4.5 out of 5 stars,1631,Bushcraft 101: A Field Guide to the Art of Wilderness Survival
Joshua Dressler,0,0,Cases and Materials on Criminal Law (American Casebook Series)
Susan Orlean,4.2 out of 5 stars,862,The Library Book
Fredrik Backman,4.6 out of 5 stars,16773,A Man Called Ove: A Novel
Piggyback,4.5 out of 5 stars,588,The Legend of Zelda: Breath of the Wild The Complete Official Guide: -Expanded Edition
Natasha Daniels,4.7 out of 5 stars,31,"Social Skills Activities for Kids: 50 Fun Exercises for Making Friends, Talking and Listening, and Understanding Social Rules"
Bret Contreras,0,0,Glute Lab: The Art and Science of Strength and Physique Training
Diana Gabaldon,4.7 out of 5 stars,8446,"Dragonfly In Amber (Outlander, Book 2)"
Lippincott,4.5 out of 5 stars,15,Nursing2020 Drug Handbook
Janine Halloran,4.4 out of 5 stars,47,"Coping Skills for Kids Workbook: Over 75 Coping Strategies to Help Kids Deal with Stress, Anxiety and Anger"
RaeAnne Thayne,4.7 out of 5 stars,179,The Cliff House
Conde Nast,4.3 out of 5 stars,9,Vogue
Aaron Zenz,4.5 out of 5 stars,1160,The Hiccupotamus
Sandra Magsamen,4.8 out of 5 stars,373,Welcome Little One
Evelyn Tribole,4.6 out of 5 stars,480,Intuitive Eating: A Revolutionary Program That Works
Karen Page,4.6 out of 5 stars,1336,"The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs"
David G. Myers,4.2 out of 5 stars,83,Psychology
Tara Conklin,4.0 out of 5 stars,311,The Last Romantics: A Novel
Andrew Sean Greer,3.7 out of 5 stars,1626,Less (Winner of the Pulitzer Prize): A Novel
Lisa Regan,4.7 out of 5 stars,313,"The Bones She Buried: A completely gripping, heart-stopping crime thriller (Detective Josie Quinn Book 5)"
John W. Creswell,3.8 out of 5 stars,49,"Research Design: Qualitative, Quantitative, and Mixed Methods Approaches"
Odette Stone,4.7 out of 5 stars,291,Puck Me Secretly: An Enemies-To-Lovers Sports Romance (A Vancouver Wolves Hockey Romance Book 1)
Josh Crute,4.8 out of 5 stars,43,Toy Story 4 Little Golden Book (Disney/Pixar Toy Story 4)
The Editors of Delish & Women's Health,4.4 out of 5 stars,114,"Keto For Carb Lovers: 100+ Amazing Low-Carb, High-Fat Recipes & 21-Day Meal Plan"
Kim Krans,4.7 out of 5 stars,289,The Wild Unknown Animal Spirit Deck and Guidebook (Official Keepsake Box Set)
Ralph Ellison,4.3 out of 5 stars,778,Invisible Man
"Deak Ph.D., JoAnn",4.7 out of 5 stars,171,"Your Fantastic Elastic Brain: Stretch It, Shape It"
Priscilla Shirer,4.9 out of 5 stars,2912,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer"
"Ball RN  DrPH  CPNP, Jane W.",2.5 out of 5 stars,30,Seidel's Guide to Physical Examination: An Interprofessional Approach (Mosby's Guide to Physical Examination)
Jean Fischer,4.9 out of 5 stars,441,I Prayed for You
Peter H. Reynolds,4.6 out of 5 stars,16,Say Something
Bill O'Reilly,0,0,The United States of Trump: How the President Really Sees America
William Shakespeare,4.5 out of 5 stars,1348,Romeo and Juliet (Folger Shakespeare Library)
Karina Bliss,4.1 out of 5 stars,16,Mr Imperfect: Lost Boys #1
Kath Stathers,4.3 out of 5 stars,67,The Bucket List: 1000 Adventures Big & Small
Gerald Corey,4.4 out of 5 stars,90,Theory and Practice of Counseling and Psychotherapy
"Hoffman PhD  RN  ANEF, Janice",3.6 out of 5 stars,56,Davis Advantage for Medical-Surgical Nursing: Making Connections to Practice
Celeste Ng,4.1 out of 5 stars,4621,Everything I Never Told You
Bob Sehlinger,3.5 out of 5 stars,2,The Unofficial Guide to Walt Disney World 2020 (The Unofficial Guides)
Dr. Seuss,4.9 out of 5 stars,42,"Happy Birthday to Me! By ME, Myself"
Cal Newport,4.6 out of 5 stars,896,Deep Work: Rules for Focused Success in a Distracted World
Kelly Yang,4.8 out of 5 stars,150,Front Desk (Scholastic Gold)
Alex Kendrick,4.7 out of 5 stars,1337,The Love Dare
