authors,avg_rating,ratings_count,title
Scholastic,4.9,321,Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters
Blake Crouch,4.5,487,Recursion: A Novel
Melody Beattie,4.6,2285,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself
Jeannette Walls,4.6,7758,The Glass Castle: A Memoir
Disney Book Group,4.8,798,The Disney Princess Cookbook
Julia Cook,4.7,325,A Bad Case of Tattle Tongue
John Grisham,N/A,0,The Guardians: A Novel
Mary Pope Osborne,4.8,1326,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon"
TEAS Exam Secrets Test Prep Team,4.7,4532,"ATI TEAS Secrets Study Guide: TEAS 6 Complete Study Manual, Full-Length Practice Tests, Review Video Tutorials for the Test of Essential Academic Skills, Sixth Edition"
Maurice Sendak,4.7,2283,Where the Wild Things Are
Pierce Brown,4.5,102,Dark Age
Vinny Guadagnino,N/A,0,The Keto Guido Cookbook: Delicious Recipes to Get Healthy and Look Great
Robert H Sitkoff,4.5,15,"Wills Trusts & Estates, Tenth Edition [Connected Casebook] (Aspen Casebook)"
Sue Grafton,4.4,1533,V is for Vengeance (Kinsey Millhone Book 22)
Robert Munsch,4.8,7148,Love You Forever
Simon Sinek,4.5,2375,Start with Why: How Great Leaders Inspire Everyone to Take Action
Tommy Orange,4.0,743,There There
Richard C. Morais,4.5,57,The Man with No Borders: A Novel
Sue Grafton,4.4,1533,V is for Vengeance (Kinsey Millhone Book 22)
Robert Munsch,4.8,7148,Love You Forever
Simon Sinek,4.5,2375,Start with Why: How Great Leaders Inspire Everyone to Take Action
Tommy Orange,4.0,743,There There
Richard C. Morais,4.5,57,The Man with No Borders: A Novel
Lois Ehlert,4.5,337,Eating the Alphabet
Anthony Doerr,4.6,28715,All the Light We Cannot See: A Novel
Taylor Jenkins Reid,4.3,995,Daisy Jones & The Six: A Novel
Minnie Birdsong,4.6,295,Now You Are One (Little Bird Greetings)
Mo Willems,4.8,778,Waiting Is Not Easy! (An Elephant and Piggie Book)
Clint McElroy,4.9,113,The Adventure Zone: Murder on the Rockport Limited!
Gary Paulsen,4.7,2536,Hatchet
School Zone,4.7,667,"School Zone - Big Kindergarten Workbook - Ages 5 to 6, Early Reading and Writing, Numbers 0-20, Matching, Story Order, and More (School Zone Big Workbook Series)"
Zora Neale Hurston,4.5,1570,Their Eyes Were Watching God
Deborah Schecter,4.5,740,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers
Kerry Patterson,4.6,1322,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition"
Mary Ellen Taylor,4.5,1025,Winter Cottage
Rhys Bowen,4.0,55,Love and Death Among the Cheetahs (A Royal Spyness Mystery Book 13)
Dav Pilkey,N/A,0,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)
Louie Giglio,4.8,524,Indescribable: 100 Devotions for Kids About God and Science
Robert Greene,4.5,2815,48 Laws of Power
Alan Gratz,4.8,389,Refugee
Dinah Bucholz,4.6,1701,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook)
Paul David Tripp,4.9,999,New Morning Mercies: A Daily Gospel Devotional
Bobby Lynn Maslen,4.7,1657,"Bob Books, Set 1: Beginning Readers"
Dr. BJ Miller,4.9,31,A Beginner's Guide to the End: Practical Advice for Living Life and Facing Death
Ocean Vuong,4.3,116,On Earth We're Briefly Gorgeous: A Novel
Workman Publishing,4.8,565,Everything You Need to Ace Math in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks)
Daniel Kahneman,4.5,3161,"Thinking, Fast and Slow"
Chandler Baker,4.0,111,Whisper Network: A Novel
Melinda Gates,4.7,308,The Moment of Lift: How Empowering Women Changes the World
Mark Haddon,4.3,3961,The Curious Incident of the Dog in the Night-Time
Responsive Classroom,4.6,57,The First Six Weeks of School
Jennifer Serravallo,4.9,425,The Reading Strategies Book: Your Everything Guide to Developing Skilled Readers
Janet Evanovich,4.3,2001,Look Alive Twenty-Five: A Stephanie Plum Novel
Paper Peony Press,4.3,990,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering
Yangsook Choi,4.7,195,The Name Jar
John Carreyrou,4.8,2623,Bad Blood: Secrets and Lies in a Silicon Valley Startup
Andrzej Sapkowski,4.3,551,Blood of Elves (The Witcher Book 1)
"Zietlow Miller, Pat",4.7,198,Be Kind
Mark Sullivan,4.7,26393,Beneath a Scarlet Sky: A Novel
Vivian Ho,4.0,38,Those Who Wander: America’s Lost Street Kids
Dr. Seuss,4.6,914,The Little Blue Box of Bright and Early Board Books by Dr. Seuss (Bright & Early Board Books(TM))
Kobi Yamada,4.8,746,What Do You Do With an Idea?  — New York Times best seller
N/A,4.8,1865,"Lamaze Peek-A-Boo Forest, Fun Interactive Baby Book with Inspiring Rhymes and Stories"
Silly Bear,4.8,399,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition)
National Geographic,3.9,355,"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do"
Jim Collins,4.5,2310,Good to Great: Why Some Companies Make the Leap and Others Don't
Jim Collins,4.5,2310,Good to Great: Why Some Companies Make the Leap and Others Don't
Gin Stephens,4.8,1355,"Delay, Don't Deny: Living an Intermittent Fasting Lifestyle"
Seuss,4.8,1565,"Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)"
Ree Drummond,N/A,0,The Pioneer Woman Cooks: The New Frontier: 112 Fantastic Favorites for Everyday Eating
Moriah Elizabeth,4.8,164,Create This Book 2 (Volume 2)
Audrey Penn,4.8,973,The Kissing Hand (The Kissing Hand Series)
Sally Rooney,3.6,444,Normal People: A Novel
Anna Kang,4.4,338,Eraser
Natasha Wing,4.8,257,The Night Before First Grade
Pretty Simple Press,4.4,663,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal
Roger Priddy,4.6,7991,First 100 Words
Project Management Institute,3.3,245,A Guide to the Project Management Body of Knowledge (PMBOK® Guide)–Sixth Edition
Priscilla Shirer,4.6,199,Gideon - Bible Study Book: Your Weakness. God's Strength.
Sarah Blake,3.5,197,The Guest Book: A Novel
Wizards RPG Team,4.6,608,Volo's Guide to Monsters (Dungeons & Dragons)
